split,class_name,npy_path,wav_path
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC218762.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC218762.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC321395.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC321395.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC486807.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC486807.mp3
train,Accipiter nisus_Eurasian Sparrowhawk,../../Datasets/BirdClef/features/Accipiter nisus_Eurasian Sparrowhawk/XC362158.npy,../../Datasets/BirdClef/audio/Accipiter nisus_Eurasian Sparrowhawk/XC362158.mp3
train,Acrocephalus arundinaceus_Great Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus arundinaceus_Great Reed Warbler/XC134613.npy,../../Datasets/BirdClef/audio/Acrocephalus arundinaceus_Great Reed Warbler/XC134613.mp3
train,Acrocephalus scirpaceus_Eurasian Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC130556.npy,../../Datasets/BirdClef/audio/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC130556.mp3
train,Actitis hypoleucos_Common Sandpiper,../../Datasets/BirdClef/features/Actitis hypoleucos_Common Sandpiper/XC281130.npy,../../Datasets/BirdClef/audio/Actitis hypoleucos_Common Sandpiper/XC281130.mp3
train,Actitis macularius_Spotted Sandpiper,../../Datasets/BirdClef/features/Actitis macularius_Spotted Sandpiper/XC318584.npy,../../Datasets/BirdClef/audio/Actitis macularius_Spotted Sandpiper/XC318584.mp3
train,Aegithalos caudatus_Long-tailed Tit,../../Datasets/BirdClef/features/Aegithalos caudatus_Long-tailed Tit/XC342287.npy,../../Datasets/BirdClef/audio/Aegithalos caudatus_Long-tailed Tit/XC342287.mp3
train,Agelaius phoeniceus_Red-winged Blackbird,../../Datasets/BirdClef/features/Agelaius phoeniceus_Red-winged Blackbird/XC121584.npy,../../Datasets/BirdClef/audio/Agelaius phoeniceus_Red-winged Blackbird/XC121584.mp3
train,Aix galericulata_Mandarin Duck,../../Datasets/BirdClef/features/Aix galericulata_Mandarin Duck/XC356941.npy,../../Datasets/BirdClef/audio/Aix galericulata_Mandarin Duck/XC356941.mp3
train,Aix sponsa_Wood Duck,../../Datasets/BirdClef/features/Aix sponsa_Wood Duck/XC170062.npy,../../Datasets/BirdClef/audio/Aix sponsa_Wood Duck/XC170062.mp3
train,Akletos goeldii_Goeldi's Antbird,../../Datasets/BirdClef/features/Akletos goeldii_Goeldi's Antbird/XC122299.npy,../../Datasets/BirdClef/audio/Akletos goeldii_Goeldi's Antbird/XC122299.mp3
train,Alauda arvensis_Eurasian Skylark,../../Datasets/BirdClef/features/Alauda arvensis_Eurasian Skylark/XC242000.npy,../../Datasets/BirdClef/audio/Alauda arvensis_Eurasian Skylark/XC242000.mp3
train,Alcedo atthis_Common Kingfisher,../../Datasets/BirdClef/features/Alcedo atthis_Common Kingfisher/XC153629.npy,../../Datasets/BirdClef/audio/Alcedo atthis_Common Kingfisher/XC153629.mp3
train,Alopochen aegyptiaca_Egyptian Goose,../../Datasets/BirdClef/features/Alopochen aegyptiaca_Egyptian Goose/XC437320.npy,../../Datasets/BirdClef/audio/Alopochen aegyptiaca_Egyptian Goose/XC437320.mp3
train,Amazona farinosa_Mealy Parrot,../../Datasets/BirdClef/features/Amazona farinosa_Mealy Parrot/XC59612.npy,../../Datasets/BirdClef/audio/Amazona farinosa_Mealy Parrot/XC59612.mp3
train,Amazona ochrocephala_Yellow-crowned Parrot,../../Datasets/BirdClef/features/Amazona ochrocephala_Yellow-crowned Parrot/XC152839.npy,../../Datasets/BirdClef/audio/Amazona ochrocephala_Yellow-crowned Parrot/XC152839.mp3
train,Ammodramus aurifrons_Yellow-browed Sparrow,../../Datasets/BirdClef/features/Ammodramus aurifrons_Yellow-browed Sparrow/XC189214.npy,../../Datasets/BirdClef/audio/Ammodramus aurifrons_Yellow-browed Sparrow/XC189214.mp3
train,Ammodramus humeralis_Grassland Sparrow,../../Datasets/BirdClef/features/Ammodramus humeralis_Grassland Sparrow/XC13104.npy,../../Datasets/BirdClef/audio/Ammodramus humeralis_Grassland Sparrow/XC13104.mp3
train,Amphispiza bilineata_Black-throated Sparrow,../../Datasets/BirdClef/features/Amphispiza bilineata_Black-throated Sparrow/XC21728.npy,../../Datasets/BirdClef/audio/Amphispiza bilineata_Black-throated Sparrow/XC21728.mp3
train,Anas acuta_Northern Pintail,../../Datasets/BirdClef/features/Anas acuta_Northern Pintail/XC187573.npy,../../Datasets/BirdClef/audio/Anas acuta_Northern Pintail/XC187573.mp3
train,Anas crecca_Green-winged Teal,../../Datasets/BirdClef/features/Anas crecca_Green-winged Teal/XC435118.npy,../../Datasets/BirdClef/audio/Anas crecca_Green-winged Teal/XC435118.mp3
train,Anas platyrhynchos_Mallard,../../Datasets/BirdClef/features/Anas platyrhynchos_Mallard/XC285222.npy,../../Datasets/BirdClef/audio/Anas platyrhynchos_Mallard/XC285222.mp3
train,Anhima cornuta_Horned Screamer,../../Datasets/BirdClef/features/Anhima cornuta_Horned Screamer/XC49682.npy,../../Datasets/BirdClef/audio/Anhima cornuta_Horned Screamer/XC49682.mp3
train,Anser albifrons_Greater White-fronted Goose,../../Datasets/BirdClef/features/Anser albifrons_Greater White-fronted Goose/XC149382.npy,../../Datasets/BirdClef/audio/Anser albifrons_Greater White-fronted Goose/XC149382.mp3
train,Anser anser_Graylag Goose,../../Datasets/BirdClef/features/Anser anser_Graylag Goose/XC429097.npy,../../Datasets/BirdClef/audio/Anser anser_Graylag Goose/XC429097.mp3
train,Anser caerulescens_Snow Goose,../../Datasets/BirdClef/features/Anser caerulescens_Snow Goose/XC362119.npy,../../Datasets/BirdClef/audio/Anser caerulescens_Snow Goose/XC362119.mp3
