split,class_name,npy_path,wav_path
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC218762.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC218762.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC377949.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC377949.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC390060.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC390060.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC503379.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC503379.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC391795.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC391795.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC321395.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC321395.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC384903.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC384903.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC218141.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC218141.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC217290.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC217290.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC161891.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC161891.mp3
