split,class_name,npy_path,wav_path
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC149178.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC149178.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC389991.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC389991.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC218754.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC218754.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC118265.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC118265.mp3
train,Acanthis flammea_Common Redpoll,../../Datasets/BirdClef/features/Acanthis flammea_Common Redpoll/XC377950.npy,../../Datasets/BirdClef/audio/Acanthis flammea_Common Redpoll/XC377950.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC483616.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC483616.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC71965.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC71965.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC406358.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC406358.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC87970.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC87970.mp3
train,Accipiter cooperii_Cooper's Hawk,../../Datasets/BirdClef/features/Accipiter cooperii_Cooper's Hawk/XC218137.npy,../../Datasets/BirdClef/audio/Accipiter cooperii_Cooper's Hawk/XC218137.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC426222.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC426222.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC165760.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC165760.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC282488.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC282488.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC59174.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC59174.mp3
train,Accipiter gentilis_Northern Goshawk,../../Datasets/BirdClef/features/Accipiter gentilis_Northern Goshawk/XC426223.npy,../../Datasets/BirdClef/audio/Accipiter gentilis_Northern Goshawk/XC426223.mp3
train,Accipiter nisus_Eurasian Sparrowhawk,../../Datasets/BirdClef/features/Accipiter nisus_Eurasian Sparrowhawk/XC467097.npy,../../Datasets/BirdClef/audio/Accipiter nisus_Eurasian Sparrowhawk/XC467097.mp3
train,Accipiter nisus_Eurasian Sparrowhawk,../../Datasets/BirdClef/features/Accipiter nisus_Eurasian Sparrowhawk/XC383705.npy,../../Datasets/BirdClef/audio/Accipiter nisus_Eurasian Sparrowhawk/XC383705.mp3
train,Accipiter nisus_Eurasian Sparrowhawk,../../Datasets/BirdClef/features/Accipiter nisus_Eurasian Sparrowhawk/XC327387.npy,../../Datasets/BirdClef/audio/Accipiter nisus_Eurasian Sparrowhawk/XC327387.mp3
train,Accipiter nisus_Eurasian Sparrowhawk,../../Datasets/BirdClef/features/Accipiter nisus_Eurasian Sparrowhawk/XC27400.npy,../../Datasets/BirdClef/audio/Accipiter nisus_Eurasian Sparrowhawk/XC27400.mp3
train,Accipiter nisus_Eurasian Sparrowhawk,../../Datasets/BirdClef/features/Accipiter nisus_Eurasian Sparrowhawk/XC360834.npy,../../Datasets/BirdClef/audio/Accipiter nisus_Eurasian Sparrowhawk/XC360834.mp3
train,Acrocephalus arundinaceus_Great Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus arundinaceus_Great Reed Warbler/XC178864.npy,../../Datasets/BirdClef/audio/Acrocephalus arundinaceus_Great Reed Warbler/XC178864.mp3
train,Acrocephalus arundinaceus_Great Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus arundinaceus_Great Reed Warbler/XC180757.npy,../../Datasets/BirdClef/audio/Acrocephalus arundinaceus_Great Reed Warbler/XC180757.mp3
train,Acrocephalus arundinaceus_Great Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus arundinaceus_Great Reed Warbler/XC240480.npy,../../Datasets/BirdClef/audio/Acrocephalus arundinaceus_Great Reed Warbler/XC240480.mp3
train,Acrocephalus arundinaceus_Great Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus arundinaceus_Great Reed Warbler/XC287127.npy,../../Datasets/BirdClef/audio/Acrocephalus arundinaceus_Great Reed Warbler/XC287127.mp3
train,Acrocephalus arundinaceus_Great Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus arundinaceus_Great Reed Warbler/XC104183.npy,../../Datasets/BirdClef/audio/Acrocephalus arundinaceus_Great Reed Warbler/XC104183.mp3
train,Acrocephalus scirpaceus_Eurasian Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC141960.npy,../../Datasets/BirdClef/audio/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC141960.mp3
train,Acrocephalus scirpaceus_Eurasian Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC292574.npy,../../Datasets/BirdClef/audio/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC292574.mp3
train,Acrocephalus scirpaceus_Eurasian Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC144371.npy,../../Datasets/BirdClef/audio/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC144371.mp3
train,Acrocephalus scirpaceus_Eurasian Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC143035.npy,../../Datasets/BirdClef/audio/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC143035.mp3
train,Acrocephalus scirpaceus_Eurasian Reed Warbler,../../Datasets/BirdClef/features/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC134083.npy,../../Datasets/BirdClef/audio/Acrocephalus scirpaceus_Eurasian Reed Warbler/XC134083.mp3
train,Actitis hypoleucos_Common Sandpiper,../../Datasets/BirdClef/features/Actitis hypoleucos_Common Sandpiper/XC129378.npy,../../Datasets/BirdClef/audio/Actitis hypoleucos_Common Sandpiper/XC129378.mp3
train,Actitis hypoleucos_Common Sandpiper,../../Datasets/BirdClef/features/Actitis hypoleucos_Common Sandpiper/XC455720.npy,../../Datasets/BirdClef/audio/Actitis hypoleucos_Common Sandpiper/XC455720.mp3
train,Actitis hypoleucos_Common Sandpiper,../../Datasets/BirdClef/features/Actitis hypoleucos_Common Sandpiper/XC27065.npy,../../Datasets/BirdClef/audio/Actitis hypoleucos_Common Sandpiper/XC27065.mp3
train,Actitis hypoleucos_Common Sandpiper,../../Datasets/BirdClef/features/Actitis hypoleucos_Common Sandpiper/XC342915.npy,../../Datasets/BirdClef/audio/Actitis hypoleucos_Common Sandpiper/XC342915.mp3
train,Actitis hypoleucos_Common Sandpiper,../../Datasets/BirdClef/features/Actitis hypoleucos_Common Sandpiper/XC431111.npy,../../Datasets/BirdClef/audio/Actitis hypoleucos_Common Sandpiper/XC431111.mp3
train,Actitis macularius_Spotted Sandpiper,../../Datasets/BirdClef/features/Actitis macularius_Spotted Sandpiper/XC31322.npy,../../Datasets/BirdClef/audio/Actitis macularius_Spotted Sandpiper/XC31322.mp3
train,Actitis macularius_Spotted Sandpiper,../../Datasets/BirdClef/features/Actitis macularius_Spotted Sandpiper/XC389435.npy,../../Datasets/BirdClef/audio/Actitis macularius_Spotted Sandpiper/XC389435.mp3
train,Actitis macularius_Spotted Sandpiper,../../Datasets/BirdClef/features/Actitis macularius_Spotted Sandpiper/XC101606.npy,../../Datasets/BirdClef/audio/Actitis macularius_Spotted Sandpiper/XC101606.mp3
train,Actitis macularius_Spotted Sandpiper,../../Datasets/BirdClef/features/Actitis macularius_Spotted Sandpiper/XC153624.npy,../../Datasets/BirdClef/audio/Actitis macularius_Spotted Sandpiper/XC153624.mp3
train,Actitis macularius_Spotted Sandpiper,../../Datasets/BirdClef/features/Actitis macularius_Spotted Sandpiper/XC188443.npy,../../Datasets/BirdClef/audio/Actitis macularius_Spotted Sandpiper/XC188443.mp3
train,Aegithalos caudatus_Long-tailed Tit,../../Datasets/BirdClef/features/Aegithalos caudatus_Long-tailed Tit/XC230133.npy,../../Datasets/BirdClef/audio/Aegithalos caudatus_Long-tailed Tit/XC230133.mp3
train,Aegithalos caudatus_Long-tailed Tit,../../Datasets/BirdClef/features/Aegithalos caudatus_Long-tailed Tit/XC281623.npy,../../Datasets/BirdClef/audio/Aegithalos caudatus_Long-tailed Tit/XC281623.mp3
train,Aegithalos caudatus_Long-tailed Tit,../../Datasets/BirdClef/features/Aegithalos caudatus_Long-tailed Tit/XC339778.npy,../../Datasets/BirdClef/audio/Aegithalos caudatus_Long-tailed Tit/XC339778.mp3
train,Aegithalos caudatus_Long-tailed Tit,../../Datasets/BirdClef/features/Aegithalos caudatus_Long-tailed Tit/XC287115.npy,../../Datasets/BirdClef/audio/Aegithalos caudatus_Long-tailed Tit/XC287115.mp3
train,Aegithalos caudatus_Long-tailed Tit,../../Datasets/BirdClef/features/Aegithalos caudatus_Long-tailed Tit/XC357610.npy,../../Datasets/BirdClef/audio/Aegithalos caudatus_Long-tailed Tit/XC357610.mp3
