split,class_name,npy_path,wav_path
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00004.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00004.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00010.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00010.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00015.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00015.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00013.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00013.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00026.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00026.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00021.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00021.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00007.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00007.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00011.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00011.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00024.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00024.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00023.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00023.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00012.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00012.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00008.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00008.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00019.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00019.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00022.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00022.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00014.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00014.wav
train,id10001,../../Datasets/VoxCeleb1_features/id10001/00020.npy,../../Datasets/VoxCeleb1_Mirror/id10001/00020.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00020.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00020.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00017.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00017.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00024.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00024.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00015.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00015.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00034.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00034.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00008.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00008.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00002.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00002.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00011.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00011.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00033.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00033.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00006.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00006.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00009.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00009.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00012.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00012.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00010.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00010.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00013.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00013.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00031.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00031.wav
train,id10002,../../Datasets/VoxCeleb1_features/id10002/00001.npy,../../Datasets/VoxCeleb1_Mirror/id10002/00001.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00028.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00028.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00007.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00007.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00008.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00008.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00002.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00002.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00040.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00040.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00011.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00011.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00043.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00043.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00033.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00033.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00035.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00035.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00017.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00017.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00042.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00042.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00006.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00006.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00001.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00001.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00018.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00018.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00041.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00041.wav
train,id10003,../../Datasets/VoxCeleb1_features/id10003/00013.npy,../../Datasets/VoxCeleb1_Mirror/id10003/00013.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00010.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00010.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00023.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00023.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00037.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00037.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00025.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00025.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00018.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00018.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00014.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00014.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00003.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00003.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00006.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00006.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00026.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00026.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00034.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00034.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00012.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00012.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00033.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00033.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00009.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00009.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00007.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00007.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00004.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00004.wav
train,id10004,../../Datasets/VoxCeleb1_features/id10004/00002.npy,../../Datasets/VoxCeleb1_Mirror/id10004/00002.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00005.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00005.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00010.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00010.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00009.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00009.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00003.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00003.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00001.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00001.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00007.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00007.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00002.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00002.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00004.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00004.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00006.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00006.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00003.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00003.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00006.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00006.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00005.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00005.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00009.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00009.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00004.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00004.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00007.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00007.wav
train,id10005,../../Datasets/VoxCeleb1_features/id10005/00001.npy,../../Datasets/VoxCeleb1_Mirror/id10005/00001.wav
train,id10006,../../Datasets/VoxCeleb1_features/id10006/00008.npy,../../Datasets/VoxCeleb1_Mirror/id10006/00008.wav
train,id10006,../../Datasets/VoxCeleb1_features/id10006/00003.npy,../../Datasets/VoxCeleb1_Mirror/id10006/00003.wav
train,id10006,../../Datasets/VoxCeleb1_features/id10006/00014.npy,../../Datasets/VoxCeleb1_Mirror/id10006/00014.wav
train,id10006,../../Datasets/VoxCeleb1_features/id10006/00002.npy,../../Datasets/VoxCeleb1_Mirror/id10006/00002.wav
train,id10006,../../Datasets/VoxCeleb1_features/id10006/00005.npy,../../Datasets/VoxCeleb1_Mirror/id10006/00005.wav
train,id10006,../../Datasets/VoxCeleb1_features/id10006/00009.npy,../../Datasets/VoxCeleb1_Mirror/id10006/00009.wav
